Metric,Value
macTxDrop,0
macRxDrop,12661502
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2133948
dropTxing,208364
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,232178
dropPreambleDetectFailure,9999182
dropReceptionAbortedByTx,19
dropLSigFailure,1065
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,86126
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,620
