Metric,Value
macTxDrop,0
macRxDrop,8071226
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,937218
dropTxing,128909
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,300369
dropPreambleDetectFailure,6656318
dropReceptionAbortedByTx,50
dropLSigFailure,2201
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,44680
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1481
