Metric,Value
macTxDrop,0
macRxDrop,16960254
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3662214
dropTxing,216899
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,303788
dropPreambleDetectFailure,12689993
dropReceptionAbortedByTx,22
dropLSigFailure,1701
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,85138
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,499
