Metric,Value
macTxDrop,0
macRxDrop,9144888
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1199511
dropTxing,148971
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,227119
dropPreambleDetectFailure,7458566
dropReceptionAbortedByTx,11
dropLSigFailure,479
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,109650
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,581
