Metric,Value
macTxDrop,0
macRxDrop,9707286
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3342992
dropTxing,300153
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1050556
dropPreambleDetectFailure,4988301
dropReceptionAbortedByTx,2
dropLSigFailure,2866
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,20818
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1598
