Metric,Value
macTxDrop,0
macRxDrop,20373042
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3257641
dropTxing,248968
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1704141
dropPreambleDetectFailure,15113190
dropReceptionAbortedByTx,2
dropLSigFailure,333
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,46224
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,2543
