Metric,Value
macTxDrop,0
macRxDrop,6601650
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,640375
dropTxing,102451
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,315971
dropPreambleDetectFailure,5436009
dropReceptionAbortedByTx,45
dropLSigFailure,1443
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,104181
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1175
