Metric,Value
macTxDrop,0
macRxDrop,3083523
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,560101
dropTxing,76983
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,215601
dropPreambleDetectFailure,2218374
dropReceptionAbortedByTx,19
dropLSigFailure,1342
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,10408
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,695
