Metric,Value
macTxDrop,0
macRxDrop,23788914
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1964854
dropTxing,249401
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,236706
dropPreambleDetectFailure,21284526
dropReceptionAbortedByTx,10
dropLSigFailure,256
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,52621
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,540
