Metric,Value
macTxDrop,0
macRxDrop,3763857
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,813626
dropTxing,33002
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,371881
dropPreambleDetectFailure,2533447
dropReceptionAbortedByTx,1
dropLSigFailure,270
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,11349
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,281
