Metric,Value
macTxDrop,0
macRxDrop,9426364
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2607987
dropTxing,184254
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1049979
dropPreambleDetectFailure,5525523
dropReceptionAbortedByTx,90
dropLSigFailure,6127
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,49905
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,2499
