Metric,Value
macTxDrop,0
macRxDrop,5557646
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,886195
dropTxing,185778
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,179277
dropPreambleDetectFailure,4289313
dropReceptionAbortedByTx,4
dropLSigFailure,1299
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,15210
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,570
