Metric,Value
macTxDrop,0
macRxDrop,20747994
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,6275229
dropTxing,311395
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,553978
dropPreambleDetectFailure,13570232
dropReceptionAbortedByTx,9
dropLSigFailure,4204
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,32299
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,648
