Metric,Value
macTxDrop,0
macRxDrop,5671845
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,688749
dropTxing,155021
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,176202
dropPreambleDetectFailure,4587382
dropReceptionAbortedByTx,15
dropLSigFailure,453
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,63269
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,754
