Metric,Value
macTxDrop,0
macRxDrop,3026112
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,360616
dropTxing,133684
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,53894
dropPreambleDetectFailure,2464120
dropReceptionAbortedByTx,11
dropLSigFailure,747
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,12727
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,313
