Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,50112,11278,0,0
1,2950,0,35685,10984,0,0
2,2950,0,44557,11226,0,3
3,2950,0,43276,10894,0,0
4,2950,0,55384,11456,0,5
5,2950,0,51673,11462,0,0
6,0,0,45268,8232,0,0
7,0,0,38726,8800,0,0
8,0,0,99790,8792,0,0
9,0,0,40802,7690,0,0
10,0,0,46147,8392,0,2
11,0,0,34307,8234,0,0
12,0,0,45433,8174,0,0
13,0,0,33345,7813,0,0
14,0,0,30383,7554,0,0
15,0,0,49168,9044,0,0
16,0,0,54474,8429,0,4
17,0,399,52764,8606,0,51
18,0,0,34743,7877,0,0
19,0,0,38287,8283,0,0
20,0,0,49749,8799,0,0
21,0,0,43290,8323,0,0
22,0,0,50585,8392,0,0
23,0,0,36476,7970,0,0
24,0,0,50344,8609,0,0
25,0,0,50880,8567,0,38
26,0,0,48121,8063,0,0
27,0,40,83084,8792,0,0
28,0,0,53652,8465,0,0
29,0,0,52071,8599,0,4
30,0,0,46620,8068,0,0
31,0,0,110156,8955,0,0
32,0,0,83449,8958,0,0
33,0,0,49952,8315,0,0
34,0,0,56488,8685,0,0
35,0,0,112756,8907,0,0
36,0,0,84404,8977,0,0
37,0,0,17606,6884,0,0
38,0,0,17856,6756,0,0
39,0,0,36976,8350,0,12
40,0,0,45091,8039,0,0
41,0,0,106168,8765,0,0
42,0,0,94951,8952,0,0
43,0,0,62897,8377,0,10
44,0,0,44692,8170,0,0
45,0,0,48565,8993,0,0
46,0,0,98585,8621,0,0
47,0,0,108026,8744,0,0
48,0,0,70092,8814,0,0
49,0,0,57704,8824,0,0
50,0,0,98801,8799,0,0
51,0,0,97561,8747,0,0
52,0,0,74782,8776,0,0
53,0,0,48158,8418,0,0
54,0,0,84734,8875,0,0
55,0,0,123191,8923,0,0
56,0,0,37977,8186,0,0
57,0,0,27145,7332,0,0
58,0,0,112978,8917,0,0
59,0,0,44544,8392,0,7
60,0,0,90095,8834,0,0
61,0,126,52188,8420,0,0
62,0,0,117780,8993,0,0
63,0,0,52248,8641,0,0
64,0,0,119023,8922,0,0
65,0,0,55677,8570,0,0
66,0,0,96669,8856,0,0
67,0,0,50871,8696,0,11
68,0,0,75311,8456,0,0
69,0,0,27350,7042,0,0
70,0,0,63072,8675,0,0
71,0,0,51778,8382,0,8
72,0,0,102477,8684,0,0
73,0,0,76177,8624,0,0
74,0,0,42985,7893,0,0
75,0,0,26243,7149,0,0
