Metric,Value
macTxDrop,0
macRxDrop,546757
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,102827
dropTxing,7113
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,75155
dropPreambleDetectFailure,357520
dropReceptionAbortedByTx,0
dropLSigFailure,55
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,3992
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,95
