Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,7466,6526,0,0
1,2950,0,16750,13473,0,12
2,2950,0,20432,16571,0,7
3,2950,0,12781,8870,0,0
4,2950,0,4532,3862,0,0
5,2950,0,8312,4716,0,0
6,0,0,8577,2555,0,73
7,0,0,9004,3833,0,0
8,0,0,5723,2290,0,0
9,0,135,21622,16182,0,3
10,0,0,232,263,0,0
11,0,0,1328,837,0,0
12,0,0,2100,1089,0,0
13,0,0,9079,3629,0,0
14,0,0,7435,5216,0,1
15,0,0,3741,2518,0,0
16,0,0,1948,919,0,0
17,0,157,11935,5161,0,0
18,0,0,4659,3134,0,0
19,0,0,10061,4376,0,5
20,0,0,4777,4231,0,0
21,0,0,8991,5138,0,0
22,0,0,6849,1791,0,0
23,0,466,2918,1222,0,0
24,0,0,6237,2210,0,1
25,0,0,11833,5602,0,3
26,0,0,8175,2478,0,42
27,0,0,14657,8900,0,12
28,0,0,5611,2968,0,1
29,0,0,3411,1919,0,0
30,0,0,6672,1679,0,0
31,0,0,8078,4895,0,0
32,0,0,4720,3489,0,1
33,0,0,3654,2515,0,0
34,0,0,3114,1304,0,0
35,0,0,4055,2057,0,0
36,0,0,7914,2957,0,0
37,0,1852,6423,1979,0,0
38,0,0,7756,4392,0,3
39,0,0,6928,1821,0,0
40,0,0,6329,1681,0,0
41,0,0,4241,1377,0,0
42,0,0,20644,14017,0,15
43,0,0,4795,1568,0,14
44,0,0,3578,1943,0,0
45,0,0,1516,1464,0,0
46,0,156,3738,1507,0,0
47,0,0,1368,877,0,0
48,0,0,12030,8491,0,3
49,0,524,8547,2205,0,0
