Metric,Value
macTxDrop,0
macRxDrop,1237345
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,70416
dropTxing,24782
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,24078
dropPreambleDetectFailure,1107090
dropReceptionAbortedByTx,2
dropLSigFailure,47
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,10800
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,130
