Metric,Value
macTxDrop,0
macRxDrop,7870532
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,271184
dropTxing,72334
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,89427
dropPreambleDetectFailure,7422723
dropReceptionAbortedByTx,27
dropLSigFailure,202
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,14082
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,553
