Metric,Value
macTxDrop,0
macRxDrop,6921764
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1757013
dropTxing,219667
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,501521
dropPreambleDetectFailure,4427536
dropReceptionAbortedByTx,2
dropLSigFailure,4869
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,10158
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,998
