Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,72436,8584,1791,0
1,2950,0,83332,8238,2694,0
2,2950,0,88836,8197,2301,8
3,2950,0,37080,7179,2354,0
4,2950,0,82445,7327,382,0
5,2950,0,41702,7106,2653,0
6,0,0,37560,3943,0,0
7,0,0,40173,4045,0,0
8,0,0,76860,4958,0,0
9,0,0,48228,4726,0,4
10,0,0,78123,4712,0,3
11,0,0,60727,4949,0,0
12,0,0,38902,3766,0,0
13,0,0,91968,4865,0,0
14,0,0,84290,4701,0,0
15,0,0,67173,4919,0,6
16,0,0,80476,4837,0,1
17,0,0,84670,5214,0,3
18,0,0,73816,5056,0,5
19,0,0,64109,4739,0,0
20,0,0,82629,4549,0,0
21,0,0,77784,5286,0,0
22,0,0,77392,4643,0,1
23,0,0,95169,4002,0,0
24,0,0,56491,4816,0,0
25,0,0,84827,4398,0,9
26,0,0,35626,3747,0,3
27,0,0,43089,4460,0,0
28,0,0,66766,4079,0,0
29,0,0,89477,4213,0,0
30,0,0,44372,4031,0,0
31,0,0,95336,4073,0,0
32,0,0,80510,4892,0,6
33,0,0,61691,4499,0,0
34,0,0,72167,4339,0,0
35,0,0,52409,4210,0,0
36,0,0,45319,4239,0,0
37,0,0,78421,5022,0,0
38,0,0,95258,4957,0,0
39,0,0,85127,4413,0,0
40,0,0,53606,4329,0,0
41,0,0,36151,3908,0,0
42,0,0,80025,5092,0,3
43,0,0,68945,4673,0,0
44,0,0,85102,5098,0,0
45,0,0,94851,3885,0,0
46,0,0,61780,4508,0,0
47,0,0,36826,3819,0,0
48,0,0,97222,3732,0,0
49,0,0,89640,5179,0,0
50,0,0,57307,5017,0,0
51,0,0,80768,4840,0,0
52,0,0,93017,3848,0,0
53,0,0,78597,4481,0,0
54,0,0,53937,4602,0,0
55,0,0,65892,4826,0,14
56,0,0,72054,4524,0,0
57,0,0,67357,4409,0,1
58,0,0,63931,4944,0,0
59,0,0,91415,4100,0,0
60,0,0,93513,3887,0,0
61,0,0,41104,3882,0,0
62,0,0,96552,3804,0,0
63,0,0,80427,4930,0,0
64,0,0,78712,4065,0,1
65,0,0,79653,4130,0,0
66,0,0,76417,4658,0,0
67,0,0,69290,4538,0,0
68,0,0,95496,4310,0,0
69,0,0,49355,4649,0,1
70,0,0,55056,4335,0,0
71,0,0,85758,4553,0,0
72,0,0,51682,4257,0,0
73,0,0,75413,4665,0,2
74,0,0,89993,4125,0,0
75,0,0,43366,3907,0,0
76,0,0,90213,3834,0,0
77,0,0,80977,4886,0,0
78,0,0,88585,5050,0,0
79,0,0,98426,4187,0,0
80,0,0,85476,4017,0,4
81,0,0,76405,4772,0,0
