Metric,Value
macTxDrop,0
macRxDrop,4128677
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1107194
dropTxing,96651
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,445023
dropPreambleDetectFailure,2459635
dropReceptionAbortedByTx,16
dropLSigFailure,3417
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,15858
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,883
