Metric,Value
macTxDrop,0
macRxDrop,7863623
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1730946
dropTxing,153746
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,679726
dropPreambleDetectFailure,5270902
dropReceptionAbortedByTx,30
dropLSigFailure,1361
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,25018
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1894
