Metric,Value
macTxDrop,0
macRxDrop,17914561
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2254305
dropTxing,400917
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,687307
dropPreambleDetectFailure,14515285
dropReceptionAbortedByTx,2
dropLSigFailure,384
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,54479
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1882
