Metric,Value
macTxDrop,0
macRxDrop,3631516
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,375614
dropTxing,135635
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,67717
dropPreambleDetectFailure,3021795
dropReceptionAbortedByTx,43
dropLSigFailure,617
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,29277
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,818
