Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,124465,12262,0,0
1,2950,0,95537,11945,0,0
2,2950,0,105981,12405,0,0
3,2950,0,63642,12000,0,0
4,2950,0,134520,12185,0,0
5,2950,0,61640,11794,0,0
6,0,0,119293,9163,0,0
7,0,0,78857,9265,0,0
8,0,0,103682,9516,0,0
9,0,0,116895,9575,0,0
10,0,0,99280,9598,0,0
11,0,0,84199,9536,0,0
12,0,0,81026,9228,0,0
13,0,0,98811,9774,0,0
14,0,0,105394,9729,0,0
15,0,0,58800,8907,0,0
16,0,0,108393,9765,0,0
17,0,0,135933,9599,0,0
18,0,0,67869,9188,0,0
19,0,0,110141,9134,0,0
20,0,0,78507,9445,0,0
21,0,0,102284,9018,0,0
22,0,0,104634,9718,0,0
23,0,0,77574,9423,0,0
24,0,0,63398,8750,0,0
25,0,0,96504,9458,0,0
26,0,0,97733,9481,0,0
27,0,0,118812,9530,0,0
28,0,0,94018,9506,0,0
29,0,35,99941,9831,0,0
30,0,0,104599,9798,0,0
31,0,0,126953,9627,0,0
32,0,0,120029,9192,0,0
33,0,0,71684,9448,0,0
34,0,0,73901,9192,0,0
35,0,0,106150,9079,0,0
36,0,0,120940,9592,0,0
37,0,0,138623,9613,0,0
38,0,0,61428,9045,0,0
39,0,0,63165,8972,0,0
40,0,0,113132,9756,0,0
41,0,0,54821,8651,0,0
42,0,0,93774,9532,0,0
43,0,0,110204,9392,0,0
44,0,0,101517,9423,0,0
45,0,0,99088,9835,0,0
46,0,0,42110,8425,0,0
47,0,0,135001,9645,0,0
48,0,0,119007,9445,0,0
49,0,0,113016,9527,0,0
50,0,0,113039,9548,0,0
51,0,0,111534,9844,0,0
52,0,0,60988,8808,0,0
53,0,0,96310,9720,0,0
54,0,0,64320,9162,0,0
55,0,0,101568,9717,0,0
56,0,0,105849,9186,0,0
57,0,0,94175,9462,0,0
58,0,0,110407,9600,0,0
59,0,0,100770,9880,0,0
60,0,0,84733,9165,0,0
61,0,0,109232,9168,0,0
62,0,0,76921,9194,0,0
63,0,13,114662,9436,0,0
64,0,0,134603,9527,0,0
65,0,0,136148,9630,0,0
66,0,0,117841,9817,0,0
67,0,0,60098,9012,0,0
68,0,0,73775,9112,0,0
69,0,0,80972,9288,0,0
70,0,0,114421,9122,0,0
71,0,0,89053,9184,0,0
72,0,0,55299,8643,0,0
73,0,0,122361,9775,0,0
74,0,0,110837,9689,0,0
75,0,0,107037,9198,0,0
76,0,0,109237,9699,0,0
77,0,0,115021,9069,0,0
78,0,0,111538,9168,0,0
79,0,0,66982,9134,0,0
80,0,0,136263,9574,0,0
81,0,0,93881,9687,0,0
82,0,0,65242,9345,0,0
83,0,0,101161,9821,0,0
84,0,0,70513,9018,0,0
85,0,2,116665,9631,0,0
86,0,0,118146,9531,0,0
87,0,0,63793,9075,0,0
88,0,0,54065,8846,0,0
89,0,0,66103,9082,0,0
90,0,0,82934,9264,0,0
91,0,0,72855,9159,0,0
92,0,0,114113,9502,0,0
93,0,0,121230,9675,0,0
94,0,0,106232,9792,0,0
95,0,0,119654,9520,0,0
96,0,0,87359,9315,0,0
97,0,0,128984,9207,0,0
98,0,0,97717,9744,0,0
99,0,0,117077,9252,0,0
100,0,0,100738,9484,0,0
101,0,0,107458,9691,0,0
102,0,0,60875,8795,0,0
103,0,0,138258,9560,0,0
104,0,0,87105,9243,0,0
105,0,0,132792,9469,0,0
106,0,0,112389,9084,0,0
107,0,0,112407,9362,0,0
108,0,0,98091,9383,0,0
109,0,0,129419,9488,0,0
110,0,0,113320,9112,0,0
111,0,0,125257,9557,0,0
112,0,0,84892,9489,0,0
113,0,0,78513,9336,0,0
114,0,0,80583,9150,0,0
115,0,0,130727,9633,0,0
116,0,0,47402,8656,0,0
117,0,0,92382,9523,0,0
118,0,0,78470,9148,0,0
119,0,0,137907,9495,0,0
120,0,0,54424,8766,0,0
121,0,0,87958,9402,0,0
122,0,0,115129,9447,0,0
123,0,0,100401,9326,0,0
124,0,0,62405,8827,0,0
125,0,0,84515,9192,0,0
126,0,0,114646,9544,0,0
127,0,0,70537,9249,0,0
128,0,0,92334,9769,0,0
129,0,0,120261,9361,0,0
130,0,0,111312,9036,0,0
131,0,0,128035,9779,0,0
132,0,0,108253,9433,0,0
133,0,0,68968,9098,0,0
134,0,0,81038,9254,0,0
135,0,0,107299,9657,0,0
136,0,0,127588,9464,0,0
137,0,0,70642,9151,0,0
138,0,0,66802,9051,0,0
139,0,0,119017,9544,0,0
140,0,0,113951,9688,0,0
141,0,0,104406,9270,0,0
142,0,0,95567,9193,0,0
143,0,0,91080,9296,0,0
144,0,0,120534,9511,0,0
145,0,2,117216,9535,0,0
146,0,0,104187,9510,0,0
147,0,0,117883,9426,0,0
148,0,0,70599,9149,0,0
149,0,0,112318,9098,0,0
150,0,0,87947,9495,0,0
151,0,0,113676,9482,0,0
152,0,0,131435,9612,0,0
153,0,0,83937,9454,0,0
154,0,0,110749,9550,0,0
155,0,0,96216,9354,0,0
156,0,0,96606,9288,0,0
157,0,0,69547,9304,0,0
158,0,0,91328,9701,0,0
159,0,0,122653,9217,0,0
160,0,0,71775,9277,0,0
161,0,0,61418,8838,0,0
162,0,0,89990,9239,0,0
163,0,0,106437,9629,0,0
164,0,0,93034,9404,0,0
165,0,0,80600,8988,0,0
166,0,0,115876,9414,0,1
167,0,0,114679,9220,0,0
168,0,0,91373,9358,0,0
169,0,0,63208,9014,0,0
170,0,0,115557,9668,0,0
171,0,0,127591,9299,0,0
172,0,0,110811,9512,0,0
173,0,0,119191,9521,0,0
174,0,0,129776,9566,0,0
175,0,0,100875,9046,0,0
176,0,0,83465,9557,0,0
177,0,0,52852,8895,0,0
178,0,0,72739,9257,0,0
179,0,0,88925,9702,0,0
180,0,0,119369,9034,0,0
181,0,0,131873,9585,0,0
182,0,0,136315,9622,0,0
183,0,0,109290,9478,0,0
184,0,0,73015,9303,0,0
185,0,0,55935,9084,0,0
186,0,24,87945,9557,0,0
187,0,0,123236,9678,0,0
188,0,0,98423,9596,0,0
189,0,0,78033,9053,0,0
190,0,0,126791,9190,0,0
191,0,0,132735,9263,0,0
192,0,0,110135,9676,0,0
193,0,0,113779,9394,0,0
