OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.3,10.1.1.30,0,1,10.1.1.3,10.1.1.30,3,5.002,298.189,1
10.1.1.2,10.1.1.46,0,1,10.1.1.2,10.1.1.46,11,5.004,298.16,1
10.1.1.1,10.1.1.49,0,1,10.1.1.1,10.1.1.49,4,5.006,299.336,1
10.1.1.4,10.1.1.12,0,1,10.1.1.4,10.1.1.12,4,5.008,301.63,1
10.1.1.6,10.1.1.37,0,1,10.1.1.6,10.1.1.37,6,5.009,301.129,1
10.1.1.3,10.1.1.30,0,2,10.1.1.3,10.1.1.30,0,5.24,-1,0
10.1.1.1,10.1.1.49,0,2,10.1.1.1,10.1.1.49,0,5.241,-1,0
10.1.1.2,10.1.1.46,0,2,10.1.1.2,10.1.1.46,0,5.245,-1,0
10.1.1.4,10.1.1.12,0,2,10.1.1.4,10.1.1.12,0,5.248,-1,0
10.1.1.6,10.1.1.37,0,2,10.1.1.6,10.1.1.37,0,5.25,-1,0
10.1.1.4,10.1.1.12,0,3,10.1.1.4,10.1.1.12,0,5.64,-1,0
10.1.1.1,10.1.1.49,0,3,10.1.1.1,10.1.1.49,0,5.646,-1,0
10.1.1.3,10.1.1.30,0,3,10.1.1.3,10.1.1.30,0,5.647,-1,0
10.1.1.2,10.1.1.46,0,3,10.1.1.2,10.1.1.46,0,5.65,-1,0
10.1.1.6,10.1.1.37,0,3,10.1.1.6,10.1.1.37,0,5.65,-1,0
10.1.1.2,10.1.1.46,0,4,10.1.1.2,10.1.1.46,0,6.2,-1,0
10.1.1.3,10.1.1.30,0,4,10.1.1.3,10.1.1.30,0,6.206,-1,0
10.1.1.4,10.1.1.12,0,4,10.1.1.4,10.1.1.12,0,6.206,-1,0
10.1.1.6,10.1.1.37,0,4,10.1.1.6,10.1.1.37,0,6.209,-1,0
10.1.1.1,10.1.1.49,0,4,10.1.1.1,10.1.1.49,0,6.21,-1,0
10.1.1.3,10.1.1.30,0,5,10.1.1.3,10.1.1.30,0,6.922,-1,0
10.1.1.1,10.1.1.49,0,5,10.1.1.1,10.1.1.49,0,6.928,-1,0
10.1.1.2,10.1.1.46,0,5,10.1.1.2,10.1.1.46,0,6.929,-1,0
10.1.1.6,10.1.1.37,0,5,10.1.1.6,10.1.1.37,0,9.21,-1,0
10.1.1.2,10.1.1.46,0,6,10.1.1.2,10.1.1.46,0,9.723,-1,0
10.1.1.3,10.1.1.30,0,6,10.1.1.3,10.1.1.30,0,9.729,-1,0
10.1.1.4,10.1.1.12,0,5,10.1.1.4,10.1.1.12,0,10.308,-1,0
10.1.1.1,10.1.1.49,0,6,10.1.1.1,10.1.1.49,0,11.1,-1,0
10.1.1.6,10.1.1.37,0,6,10.1.1.6,10.1.1.37,0,11.21,-1,0
10.1.1.1,10.1.1.49,0,7,10.1.1.1,10.1.1.49,0,11.306,-1,0
10.1.1.6,10.1.1.37,0,7,10.1.1.6,10.1.1.37,0,11.401,-1,0
10.1.1.6,10.1.1.37,0,8,10.1.1.6,10.1.1.37,0,12.12,-1,0
10.1.1.20,10.1.1.21,0,1,10.1.1.20,10.1.1.21,0,12.1289,12.1396,1
10.1.1.28,10.1.1.49,0,1,10.1.1.28,10.1.1.49,5,12.1415,203.171,1
10.1.1.6,10.1.1.37,0,9,10.1.1.6,10.1.1.37,0,12.201,-1,0
10.1.1.1,10.1.1.49,0,8,10.1.1.1,10.1.1.49,0,12.305,-1,0
10.1.1.1,10.1.1.49,0,9,10.1.1.1,10.1.1.49,0,12.401,-1,0
10.1.1.6,10.1.1.37,0,10,10.1.1.6,10.1.1.37,0,12.604,-1,0
10.1.1.3,10.1.1.30,0,7,10.1.1.3,10.1.1.30,0,13.704,-1,0
10.1.1.1,10.1.1.49,0,10,10.1.1.1,10.1.1.49,0,13.707,-1,0
10.1.1.6,10.1.1.37,0,11,10.1.1.6,10.1.1.37,0,13.708,-1,0
10.1.1.4,10.1.1.12,0,6,10.1.1.4,10.1.1.12,0,14.804,-1,0
10.1.1.3,10.1.1.30,0,8,10.1.1.3,10.1.1.30,0,14.805,-1,0
