Metric,Value
macTxDrop,0
macRxDrop,4289056
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,334159
dropTxing,92354
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,94672
dropPreambleDetectFailure,3740344
dropReceptionAbortedByTx,25
dropLSigFailure,279
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,26491
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,732
