Metric,Value
macTxDrop,0
macRxDrop,26493560
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2745469
dropTxing,289445
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,422285
dropPreambleDetectFailure,22901313
dropReceptionAbortedByTx,5
dropLSigFailure,264
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,134018
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,761
