Metric,Value
macTxDrop,0
macRxDrop,10935247
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3067505
dropTxing,357925
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,793863
dropPreambleDetectFailure,6680668
dropReceptionAbortedByTx,8
dropLSigFailure,3586
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,30018
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1674
