Metric,Value
macTxDrop,0
macRxDrop,10691652
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1504144
dropTxing,190681
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,202521
dropPreambleDetectFailure,8724842
dropReceptionAbortedByTx,21
dropLSigFailure,894
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,67935
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,614
