Metric,Value
macTxDrop,0
macRxDrop,31130658
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,6471875
dropTxing,186325
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,911883
dropPreambleDetectFailure,23439848
dropReceptionAbortedByTx,4
dropLSigFailure,1059
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,119178
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,486
