Metric,Value
macTxDrop,0
macRxDrop,11361347
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1940095
dropTxing,263524
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,948568
dropPreambleDetectFailure,8178799
dropReceptionAbortedByTx,0
dropLSigFailure,107
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,28794
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1460
