Metric,Value
macTxDrop,0
macRxDrop,2010797
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,147757
dropTxing,31669
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,84129
dropPreambleDetectFailure,1722540
dropReceptionAbortedByTx,10
dropLSigFailure,678
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,23754
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,260
