Metric,Value
macTxDrop,0
macRxDrop,11848658
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2024941
dropTxing,185471
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,210329
dropPreambleDetectFailure,9373652
dropReceptionAbortedByTx,4
dropLSigFailure,2359
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,51539
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,363
