Metric,Value
macTxDrop,0
macRxDrop,4281620
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,538733
dropTxing,121565
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,89798
dropPreambleDetectFailure,3456559
dropReceptionAbortedByTx,16
dropLSigFailure,216
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,74321
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,412
