OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.155,10.1.1.43,0,17,10.1.0.155,10.1.1.43,2,212.162,212.849,1
10.1.0.2,10.1.0.40,20,195,10.1.0.2,10.1.0.40,0,212.2,-1,0
10.1.1.90,10.1.0.67,0,23,10.1.1.90,10.1.0.67,0,212.214,-1,0
10.1.0.178,10.1.1.82,0,22,10.1.0.178,10.1.1.82,0,212.237,-1,0
10.1.0.35,10.1.0.255,0,22,10.1.0.35,10.1.0.255,0,212.246,-1,0
10.1.0.6,10.1.0.65,18,144,10.1.0.6,10.1.0.65,0,212.263,-1,0
10.1.0.19,10.1.0.131,0,12,10.1.0.19,10.1.0.131,0,212.273,-1,0
10.1.1.53,10.1.1.213,0,29,10.1.1.53,10.1.1.213,0,212.289,-1,0
10.1.1.53,10.1.0.124,0,30,10.1.1.53,10.1.0.124,0,212.299,-1,0
10.1.1.114,10.1.0.124,0,42,10.1.1.114,10.1.0.124,0,212.312,-1,0
10.1.0.145,10.1.1.79,0,37,10.1.0.145,10.1.1.79,3,212.317,237.927,1
10.1.1.27,10.1.0.194,0,22,10.1.1.27,10.1.0.194,0,212.322,-1,0
10.1.0.159,10.1.0.251,14,31,10.1.0.159,10.1.0.251,0,212.335,-1,0
10.1.0.5,10.1.0.149,0,137,10.1.0.5,10.1.0.149,0,212.345,-1,0
10.1.0.241,10.1.1.237,0,23,10.1.0.241,10.1.1.237,0,212.355,-1,0
10.1.0.209,10.1.0.47,0,23,10.1.0.209,10.1.0.47,0,212.365,-1,0
10.1.1.26,10.1.1.41,0,6,10.1.1.26,10.1.1.41,0,212.365,-1,0
10.1.0.12,10.1.0.133,0,31,10.1.0.12,10.1.0.133,0,212.407,-1,0
10.1.0.89,10.1.1.233,0,22,10.1.0.89,10.1.1.233,0,212.418,-1,0
10.1.1.103,10.1.0.5,0,16,10.1.1.103,10.1.0.5,0,212.426,-1,0
10.1.1.201,10.1.1.53,0,28,10.1.1.201,10.1.1.53,0,212.434,-1,0
10.1.0.3,10.1.1.100,7,115,10.1.0.3,10.1.1.100,0,212.466,-1,0
10.1.1.124,10.1.1.223,0,16,10.1.1.124,10.1.1.223,0,212.527,-1,0
10.1.0.57,10.1.1.41,0,17,10.1.0.57,10.1.1.41,0,212.531,-1,0
10.1.1.198,10.1.0.168,0,19,10.1.1.198,10.1.0.168,4,212.548,309.498,1
10.1.0.255,10.1.1.26,0,14,10.1.0.255,10.1.1.26,0,212.564,-1,0
10.1.0.60,10.1.0.198,0,24,10.1.0.60,10.1.0.198,0,212.596,-1,0
10.1.1.90,10.1.0.67,0,24,10.1.1.90,10.1.0.67,0,212.605,-1,0
10.1.0.35,10.1.0.255,0,23,10.1.0.35,10.1.0.255,0,212.649,-1,0
10.1.0.19,10.1.0.131,0,13,10.1.0.19,10.1.0.131,0,212.67,-1,0
10.1.0.145,10.1.1.79,0,38,10.1.0.145,10.1.1.79,0,212.711,-1,0
10.1.0.2,10.1.0.88,19,196,10.1.0.2,10.1.0.88,4,212.722,213.549,1
10.1.1.26,10.1.1.41,0,7,10.1.1.26,10.1.1.41,0,212.762,-1,0
10.1.0.156,10.1.1.41,0,19,10.1.0.156,10.1.1.41,0,212.793,-1,0
10.1.1.195,10.1.1.123,0,22,10.1.1.195,10.1.1.123,4,212.799,236.315,1
10.1.0.89,10.1.1.233,0,23,10.1.0.89,10.1.1.233,0,212.82,-1,0
10.1.0.213,10.1.0.235,0,23,10.1.0.213,10.1.0.235,0,212.842,-1,0
10.1.0.5,10.1.0.60,0,138,10.1.0.5,10.1.0.60,0,212.853,-1,0
10.1.1.221,10.1.0.168,19,22,10.1.1.221,10.1.0.168,5,212.89,213.805,1
10.1.0.5,10.1.0.149,0,139,10.1.0.5,10.1.0.149,0,212.901,-1,0
10.1.0.78,10.1.1.125,0,24,10.1.0.78,10.1.1.125,4,212.929,213.053,1
10.1.0.152,10.1.1.125,0,20,10.1.0.152,10.1.1.125,0,212.941,-1,0
10.1.1.198,10.1.0.168,0,20,10.1.1.198,10.1.0.168,0,212.949,-1,0
10.1.0.255,10.1.1.26,0,15,10.1.0.255,10.1.1.26,0,212.955,-1,0
10.1.0.190,10.1.1.125,0,27,10.1.0.190,10.1.1.125,1,212.972,212.982,1
10.1.1.88,10.1.1.125,0,23,10.1.1.88,10.1.1.125,0,212.979,-1,0
10.1.1.161,10.1.1.51,0,26,10.1.1.161,10.1.1.51,6,213.076,313.544,1
10.1.0.113,10.1.0.152,0,25,10.1.0.113,10.1.0.152,0,213.08,-1,0
10.1.0.2,10.1.0.40,20,197,10.1.0.2,10.1.0.40,0,213.088,-1,0
10.1.0.3,10.1.1.100,7,116,10.1.0.3,10.1.1.100,0,213.183,-1,0
