Metric,Value
macTxDrop,0
macRxDrop,5314379
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,701117
dropTxing,159459
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,115221
dropPreambleDetectFailure,4287423
dropReceptionAbortedByTx,10
dropLSigFailure,327
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,50186
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,636
