OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.3,10.1.0.166,0,1,10.1.0.3,10.1.0.166,7,5.002,288.534,1
10.1.0.2,10.1.1.15,0,1,10.1.0.2,10.1.1.15,13,5.005,300.536,1
10.1.0.4,10.1.0.56,0,1,10.1.0.4,10.1.0.56,7,5.005,291.85,1
10.1.0.5,10.1.1.36,0,1,10.1.0.5,10.1.1.36,10,5.007,148.606,1
10.1.0.1,10.1.1.35,0,1,10.1.0.1,10.1.1.35,12,5.008,300.796,1
10.1.0.6,10.1.1.2,0,1,10.1.0.6,10.1.1.2,8,5.01,300.081,1
10.1.0.6,10.1.1.2,0,2,10.1.0.6,10.1.1.2,0,5.242,-1,0
10.1.0.1,10.1.1.35,0,2,10.1.0.1,10.1.1.35,0,5.243,-1,0
10.1.0.4,10.1.0.56,0,2,10.1.0.4,10.1.0.56,0,5.244,-1,0
10.1.0.3,10.1.0.166,0,2,10.1.0.3,10.1.0.166,0,5.247,-1,0
10.1.0.2,10.1.1.15,0,2,10.1.0.2,10.1.1.15,0,5.248,-1,0
10.1.0.5,10.1.1.36,0,2,10.1.0.5,10.1.1.36,0,5.25,-1,0
10.1.0.5,10.1.1.36,0,3,10.1.0.5,10.1.1.36,0,5.642,-1,0
10.1.0.2,10.1.1.15,0,3,10.1.0.2,10.1.1.15,0,5.644,-1,0
10.1.0.6,10.1.1.2,0,3,10.1.0.6,10.1.1.2,0,5.645,-1,0
10.1.0.1,10.1.1.35,0,3,10.1.0.1,10.1.1.35,0,5.65,-1,0
10.1.0.90,10.1.0.145,0,1,10.1.0.90,10.1.0.145,2,5.68675,9.57212,1
10.1.0.4,10.1.0.56,0,3,10.1.0.4,10.1.0.56,0,5.805,-1,0
10.1.0.75,10.1.0.4,0,1,10.1.0.75,10.1.0.4,8,5.8723,257.587,1
10.1.0.5,10.1.1.36,0,4,10.1.0.5,10.1.1.36,0,5.901,-1,0
10.1.0.94,10.1.1.32,0,1,10.1.0.94,10.1.1.32,4,5.98294,11.1841,1
10.1.0.4,10.1.0.56,0,4,10.1.0.4,10.1.0.56,0,6.003,-1,0
10.1.0.2,10.1.1.15,0,4,10.1.0.2,10.1.1.15,0,6.006,-1,0
10.1.0.94,10.1.1.18,0,2,10.1.0.94,10.1.1.18,0,6.02157,175.164,1
10.1.0.5,10.1.1.36,0,5,10.1.0.5,10.1.1.36,0,6.105,-1,0
10.1.0.6,10.1.1.2,0,4,10.1.0.6,10.1.1.2,0,6.205,-1,0
10.1.0.93,10.1.0.36,0,1,10.1.0.93,10.1.0.36,3,6.26944,10.8027,1
10.1.0.6,10.1.1.2,0,5,10.1.0.6,10.1.1.2,0,6.306,-1,0
10.1.0.173,10.1.0.10,0,1,10.1.0.173,10.1.0.10,1,6.31219,311.904,1
10.1.0.145,10.1.1.36,0,1,10.1.0.145,10.1.1.36,1,6.31994,9.42824,1
10.1.0.94,10.1.0.169,0,3,10.1.0.94,10.1.0.169,4,6.33112,143.365,1
10.1.0.5,10.1.1.36,0,6,10.1.0.5,10.1.1.36,0,6.507,-1,0
10.1.0.167,10.1.0.242,0,1,10.1.0.167,10.1.0.242,4,6.53863,51.3182,1
10.1.0.89,10.1.1.6,0,1,10.1.0.89,10.1.1.6,0,6.55809,285.634,1
10.1.0.6,10.1.1.2,0,6,10.1.0.6,10.1.1.2,0,6.608,-1,0
10.1.0.127,10.1.0.80,0,1,10.1.0.127,10.1.0.80,1,6.64358,319.39,1
10.1.0.23,10.1.0.151,0,1,10.1.0.23,10.1.0.151,4,6.64585,163.158,1
10.1.0.58,10.1.0.8,0,1,10.1.0.58,10.1.0.8,0,6.78293,6.78853,1
10.1.0.2,10.1.1.15,0,5,10.1.0.2,10.1.1.15,0,6.807,-1,0
10.1.0.145,10.1.1.44,0,2,10.1.0.145,10.1.1.44,5,6.84077,304.306,1
10.1.0.247,10.1.0.138,0,1,10.1.0.247,10.1.0.138,6,6.86572,236.186,1
10.1.0.220,10.1.1.6,0,1,10.1.0.220,10.1.1.6,0,6.87733,-1,0
10.1.0.89,10.1.0.121,0,2,10.1.0.89,10.1.0.121,4,6.88305,68.3612,1
10.1.0.248,10.1.0.152,0,1,10.1.0.248,10.1.0.152,4,6.89534,236.376,1
10.1.0.6,10.1.1.2,0,7,10.1.0.6,10.1.1.2,0,6.902,-1,0
10.1.0.1,10.1.1.35,0,4,10.1.0.1,10.1.1.35,0,6.906,-1,0
10.1.0.5,10.1.1.36,0,7,10.1.0.5,10.1.1.36,0,6.906,-1,0
10.1.0.220,10.1.0.151,0,2,10.1.0.220,10.1.0.151,5,6.9172,273.011,1
10.1.0.89,10.1.1.6,0,3,10.1.0.89,10.1.1.6,0,6.96009,-1,0
10.1.0.152,10.1.0.8,0,1,10.1.0.152,10.1.0.8,5,6.97118,12.4574,1
10.1.0.228,10.1.1.18,0,1,10.1.0.228,10.1.1.18,3,7.0104,304.371,1
10.1.0.10,10.1.0.173,0,1,10.1.0.10,10.1.0.173,1,7.06915,311.904,1
10.1.0.6,10.1.1.2,0,8,10.1.0.6,10.1.1.2,0,7.107,-1,0
10.1.0.194,10.1.1.32,0,1,10.1.0.194,10.1.1.32,2,7.11488,9.39299,1
10.1.0.115,10.1.1.36,0,1,10.1.0.115,10.1.1.36,2,7.1232,10.4862,1
10.1.1.5,10.1.0.45,0,1,10.1.1.5,10.1.0.45,6,7.17567,290.481,1
10.1.1.5,10.1.1.44,0,2,10.1.1.5,10.1.1.44,0,7.17809,-1,0
10.1.1.5,10.1.0.185,0,3,10.1.1.5,10.1.0.185,5,7.18975,41.1311,1
10.1.0.4,10.1.0.56,0,5,10.1.0.4,10.1.0.56,0,7.206,-1,0
10.1.1.5,10.1.0.48,0,4,10.1.1.5,10.1.0.48,1,7.24708,7.4923,1
10.1.0.220,10.1.1.2,0,3,10.1.0.220,10.1.1.2,1,7.27027,10.862,1
10.1.0.159,10.1.0.80,0,1,10.1.0.159,10.1.0.80,3,7.29702,67.8983,1
10.1.0.184,10.1.0.80,0,1,10.1.0.184,10.1.0.80,2,7.3052,7.44368,1
10.1.0.190,10.1.0.10,0,1,10.1.0.190,10.1.0.10,2,7.31027,231.431,1
10.1.0.159,10.1.0.166,0,2,10.1.0.159,10.1.0.166,3,7.33094,93.0965,1
10.1.0.169,10.1.0.56,0,1,10.1.0.169,10.1.0.56,6,7.33275,82.0877,1
10.1.0.223,10.1.1.2,0,1,10.1.0.223,10.1.1.2,2,7.3647,310.615,1
10.1.0.159,10.1.0.215,0,3,10.1.0.159,10.1.0.215,0,7.36641,18.1699,1
10.1.0.115,10.1.0.68,0,2,10.1.0.115,10.1.0.68,2,7.38009,10.0067,1
10.1.0.207,10.1.1.36,0,1,10.1.0.207,10.1.1.36,2,7.38045,278.616,1
10.1.0.159,10.1.0.174,0,4,10.1.0.159,10.1.0.174,9,7.3825,281.955,1
10.1.0.71,10.1.0.10,0,1,10.1.0.71,10.1.0.10,4,7.38449,20.7574,1
10.1.0.75,10.1.0.4,0,2,10.1.0.75,10.1.0.4,0,7.43026,-1,0
10.1.0.143,10.1.1.6,0,1,10.1.0.143,10.1.1.6,5,7.43482,257.714,1
10.1.0.169,10.1.0.187,0,2,10.1.0.169,10.1.0.187,2,7.43596,9.45701,1
10.1.0.51,10.1.0.138,0,1,10.1.0.51,10.1.0.138,5,7.45226,169.933,1
10.1.0.143,10.1.1.44,0,2,10.1.0.143,10.1.1.44,6,7.45854,260.245,1
10.1.0.26,10.1.0.105,0,1,10.1.0.26,10.1.0.105,1,7.47025,7.5174,1
10.1.0.99,10.1.1.36,0,1,10.1.0.99,10.1.1.36,5,7.48968,10.2933,1
10.1.0.26,10.1.0.227,0,2,10.1.0.26,10.1.0.227,5,7.49405,135.994,1
10.1.0.5,10.1.1.36,0,8,10.1.0.5,10.1.1.36,0,7.509,-1,0
10.1.0.3,10.1.0.166,0,3,10.1.0.3,10.1.0.166,0,7.51,-1,0
10.1.0.79,10.1.0.68,0,1,10.1.0.79,10.1.0.68,2,7.51695,228.136,1
10.1.0.115,10.1.0.207,0,3,10.1.0.115,10.1.0.207,4,7.56239,289.216,1
10.1.1.19,10.1.0.188,0,1,10.1.1.19,10.1.0.188,2,7.56406,7.98406,1
10.1.0.148,10.1.0.215,0,1,10.1.0.148,10.1.0.215,5,7.58103,131.965,1
10.1.1.5,10.1.0.68,0,5,10.1.1.5,10.1.0.68,0,7.59032,-1,0
10.1.0.48,10.1.0.151,0,1,10.1.0.48,10.1.0.151,2,7.60218,9.85782,1
10.1.0.4,10.1.0.56,0,6,10.1.0.4,10.1.0.56,0,7.604,-1,0
10.1.0.5,10.1.1.36,0,9,10.1.0.5,10.1.1.36,0,7.605,-1,0
10.1.0.6,10.1.1.2,0,9,10.1.0.6,10.1.1.2,0,7.606,-1,0
10.1.0.143,10.1.0.151,0,3,10.1.0.143,10.1.0.151,7,7.60915,258.857,1
10.1.0.97,10.1.0.163,0,1,10.1.0.97,10.1.0.163,0,7.6109,9.69755,1
10.1.0.167,10.1.0.242,0,2,10.1.0.167,10.1.0.242,0,7.61188,-1,0
10.1.0.207,10.1.0.151,0,2,10.1.0.207,10.1.0.151,3,7.61308,147.335,1
10.1.0.143,10.1.0.124,0,4,10.1.0.143,10.1.0.124,1,7.62412,7.81246,1
10.1.0.148,10.1.0.174,0,2,10.1.0.148,10.1.0.174,2,7.62724,206.515,1
