Metric,Value
macTxDrop,0
macRxDrop,27620652
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,5465045
dropTxing,141977
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,768092
dropPreambleDetectFailure,21106382
dropReceptionAbortedByTx,1
dropLSigFailure,1593
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,137137
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,425
