Metric,Value
macTxDrop,0
macRxDrop,2778511
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,43832
dropTxing,22789
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,14794
dropPreambleDetectFailure,2691776
dropReceptionAbortedByTx,1
dropLSigFailure,5
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,5224
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,90
