Metric,Value
macTxDrop,0
macRxDrop,4506119
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,651309
dropTxing,85481
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,546629
dropPreambleDetectFailure,3206240
dropReceptionAbortedByTx,0
dropLSigFailure,38
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,15639
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,783
