Metric,Value
macTxDrop,0
macRxDrop,3386775
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,320450
dropTxing,87812
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,70251
dropPreambleDetectFailure,2877206
dropReceptionAbortedByTx,10
dropLSigFailure,409
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,30248
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,389
