Metric,Value
macTxDrop,0
macRxDrop,6842045
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1707676
dropTxing,135463
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,644669
dropPreambleDetectFailure,4333837
dropReceptionAbortedByTx,1
dropLSigFailure,591
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,18976
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,832
