Metric,Value
macTxDrop,0
macRxDrop,7222599
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1339113
dropTxing,120598
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,541844
dropPreambleDetectFailure,5196165
dropReceptionAbortedByTx,33
dropLSigFailure,1173
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,22203
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1470
