Metric,Value
macTxDrop,0
macRxDrop,13482677
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1840448
dropTxing,145138
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,284875
dropPreambleDetectFailure,11127985
dropReceptionAbortedByTx,9
dropLSigFailure,787
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,82993
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,442
