Metric,Value
macTxDrop,0
macRxDrop,9364992
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1978076
dropTxing,238192
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,753690
dropPreambleDetectFailure,6346548
dropReceptionAbortedByTx,148
dropLSigFailure,4913
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,40018
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3407
