Metric,Value
macTxDrop,0
macRxDrop,11378025
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2654984
dropTxing,240521
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,801269
dropPreambleDetectFailure,7651414
dropReceptionAbortedByTx,1
dropLSigFailure,968
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,27580
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1288
