OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.6,10.1.1.95,0,1,10.1.1.6,10.1.1.95,9,5,299.7,1
10.1.1.1,10.1.1.46,0,1,10.1.1.1,10.1.1.46,8,5.003,298.693,1
10.1.1.5,10.1.1.57,0,1,10.1.1.5,10.1.1.57,21,5.007,292.321,1
10.1.1.2,10.1.1.22,0,1,10.1.1.2,10.1.1.22,6,5.008,299.956,1
10.1.1.4,10.1.1.94,0,1,10.1.1.4,10.1.1.94,7,5.008,283.522,1
10.1.1.3,10.1.1.7,0,1,10.1.1.3,10.1.1.7,4,5.01,294.873,1
10.1.1.4,10.1.1.94,0,2,10.1.1.4,10.1.1.94,0,5.24,-1,0
10.1.1.2,10.1.1.22,0,2,10.1.1.2,10.1.1.22,0,5.241,-1,0
10.1.1.5,10.1.1.57,0,2,10.1.1.5,10.1.1.57,0,5.241,-1,0
10.1.1.1,10.1.1.46,0,2,10.1.1.1,10.1.1.46,0,5.242,-1,0
10.1.1.3,10.1.1.7,0,2,10.1.1.3,10.1.1.7,0,5.246,-1,0
10.1.1.6,10.1.1.95,0,2,10.1.1.6,10.1.1.95,0,5.247,-1,0
10.1.1.2,10.1.1.22,0,3,10.1.1.2,10.1.1.22,0,5.641,-1,0
10.1.1.1,10.1.1.46,0,3,10.1.1.1,10.1.1.46,0,5.643,-1,0
10.1.1.5,10.1.1.57,0,3,10.1.1.5,10.1.1.57,0,5.643,-1,0
10.1.1.3,10.1.1.7,0,3,10.1.1.3,10.1.1.7,0,5.644,-1,0
10.1.1.6,10.1.1.95,0,3,10.1.1.6,10.1.1.95,0,5.645,-1,0
10.1.1.4,10.1.1.94,0,3,10.1.1.4,10.1.1.94,0,5.648,-1,0
10.1.1.6,10.1.1.95,0,4,10.1.1.6,10.1.1.95,0,6.201,-1,0
10.1.1.2,10.1.1.22,0,4,10.1.1.2,10.1.1.22,0,6.203,-1,0
10.1.1.4,10.1.1.94,0,4,10.1.1.4,10.1.1.94,0,6.204,-1,0
10.1.1.1,10.1.1.46,0,4,10.1.1.1,10.1.1.46,0,6.209,-1,0
10.1.1.3,10.1.1.7,0,4,10.1.1.3,10.1.1.7,0,6.209,-1,0
10.1.1.5,10.1.1.57,0,4,10.1.1.5,10.1.1.57,0,6.209,-1,0
10.1.1.6,10.1.1.95,0,5,10.1.1.6,10.1.1.95,0,6.81,-1,0
