Metric,Value
macTxDrop,0
macRxDrop,1985946
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,118097
dropTxing,28593
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,46103
dropPreambleDetectFailure,1781076
dropReceptionAbortedByTx,8
dropLSigFailure,297
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,11618
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,154
