Metric,Value
macTxDrop,0
macRxDrop,9111592
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1708501
dropTxing,195169
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,692847
dropPreambleDetectFailure,6451899
dropReceptionAbortedByTx,150
dropLSigFailure,5137
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,54762
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,3127
