Metric,Value
macTxDrop,0
macRxDrop,436132
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,18263
dropTxing,6426
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,6104
dropPreambleDetectFailure,404215
dropReceptionAbortedByTx,1
dropLSigFailure,75
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,1003
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,45
