Node, AppTx, AppRx, DeviceTx, DeviceRx, PacketsDroppedRerr, PacketsDroppedNoRoute
0,2950,0,3612,4316,1232,2
1,2950,0,5006,3818,713,0
2,2950,0,4159,3889,1971,1
3,2950,0,6440,5624,1823,18
4,2950,0,6408,3624,2648,0
5,2950,0,2333,3436,500,0
6,0,2170,5752,1471,0,0
7,0,0,3302,1560,0,56
8,0,0,3015,1393,0,0
9,0,0,2207,736,0,0
10,0,0,692,383,0,0
11,0,0,1406,558,0,0
12,0,0,3417,1174,0,0
13,0,297,743,325,0,0
14,0,1705,2799,737,0,4
15,0,0,1869,776,0,1
16,0,0,1216,621,0,4
17,0,0,1844,610,0,0
18,0,0,4477,1052,0,1
19,0,0,3343,1560,0,1
20,0,2402,3394,609,0,2
21,0,0,1621,417,0,0
22,0,0,2766,1355,0,0
23,0,0,3442,649,0,0
24,0,0,2385,1723,0,17
25,0,0,1854,682,0,38
26,0,0,2628,1455,0,0
27,0,0,3425,712,0,0
28,0,0,1827,486,0,0
29,0,0,504,399,0,0
30,0,0,1777,730,0,2
31,0,0,501,615,0,0
32,0,0,4248,2150,0,0
33,0,0,11,320,0,0
34,0,0,3766,1037,0,5
35,0,0,2405,881,0,3
36,0,0,1501,1123,0,1
37,0,0,1320,422,0,0
38,0,0,4278,971,0,0
39,0,0,2541,1110,0,0
40,0,0,4959,1765,0,2
41,0,0,2081,794,0,0
42,0,1048,2462,450,0,48
43,0,0,2676,1228,0,0
44,0,675,4801,1699,0,0
45,0,0,693,640,0,0
46,0,0,5617,2262,0,4
47,0,0,3292,610,0,0
48,0,0,4195,1157,0,0
49,0,0,3161,617,0,0
