Metric,Value
macTxDrop,0
macRxDrop,43821728
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,7203244
dropTxing,388824
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,810261
dropPreambleDetectFailure,35335457
dropReceptionAbortedByTx,4
dropLSigFailure,406
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,82782
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,750
