OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.85,10.1.1.45,17,22,10.1.1.85,10.1.1.45,0,229.762,-1,0
10.1.1.42,10.1.1.91,12,22,10.1.1.42,10.1.1.91,0,229.768,-1,0
10.1.1.85,10.1.1.40,11,23,10.1.1.85,10.1.1.40,1,229.774,229.86,1
10.1.1.42,10.1.1.32,10,23,10.1.1.42,10.1.1.32,0,229.795,-1,0
10.1.1.85,10.1.1.65,26,24,10.1.1.85,10.1.1.65,0,229.799,-1,0
10.1.1.2,10.1.1.91,12,144,10.1.1.2,10.1.1.91,0,229.803,-1,0
10.1.1.25,10.1.1.3,118,21,10.1.1.25,10.1.1.3,0,230.233,-1,0
10.1.1.25,10.1.1.94,8,22,10.1.1.25,10.1.1.94,0,230.24,-1,0
10.1.1.24,10.1.1.3,118,6,10.1.1.24,10.1.1.3,0,230.267,230.283,1
10.1.1.5,10.1.1.98,1,87,10.1.1.5,10.1.1.98,0,230.503,-1,0
10.1.1.2,10.1.1.91,12,145,10.1.1.2,10.1.1.91,0,230.504,-1,0
10.1.1.67,10.1.1.32,10,17,10.1.1.67,10.1.1.32,2,230.682,234.282,1
10.1.1.67,10.1.1.93,23,18,10.1.1.67,10.1.1.93,0,230.691,-1,0
10.1.1.67,10.1.1.91,12,19,10.1.1.67,10.1.1.91,0,230.697,-1,0
10.1.1.45,10.1.1.27,13,18,10.1.1.45,10.1.1.27,0,230.713,-1,0
10.1.1.100,10.1.1.93,23,20,10.1.1.100,10.1.1.93,0,230.714,-1,0
10.1.1.14,10.1.1.27,13,10,10.1.1.14,10.1.1.27,3,230.741,230.788,1
10.1.1.93,10.1.1.32,10,24,10.1.1.93,10.1.1.32,0,230.766,-1,0
10.1.1.7,10.1.1.27,0,6,10.1.1.7,10.1.1.27,2,230.777,231.809,1
10.1.1.2,10.1.1.91,12,146,10.1.1.2,10.1.1.91,0,230.807,-1,0
10.1.1.23,10.1.1.14,10,22,10.1.1.23,10.1.1.14,4,230.808,250.989,1
10.1.1.45,10.1.1.40,11,19,10.1.1.45,10.1.1.40,0,230.82,-1,0
10.1.1.2,10.1.1.91,12,147,10.1.1.2,10.1.1.91,0,230.909,-1,0
10.1.1.4,10.1.1.21,15,96,10.1.1.4,10.1.1.21,0,231.101,-1,0
10.1.1.5,10.1.1.98,1,88,10.1.1.5,10.1.1.98,0,232.261,-1,0
10.1.1.5,10.1.1.98,1,89,10.1.1.5,10.1.1.98,0,232.506,-1,0
10.1.1.23,10.1.1.13,0,23,10.1.1.23,10.1.1.13,1,233.142,233.156,1
10.1.1.6,10.1.1.87,0,55,10.1.1.6,10.1.1.87,0,233.703,-1,0
10.1.1.6,10.1.1.87,0,56,10.1.1.6,10.1.1.87,0,233.944,-1,0
10.1.1.5,10.1.1.98,1,90,10.1.1.5,10.1.1.98,0,234.021,-1,0
10.1.1.33,10.1.1.70,2,2,10.1.1.33,10.1.1.70,1,234.097,283.817,1
