Metric,Value
macTxDrop,0
macRxDrop,3886729
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,279818
dropTxing,63126
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,101280
dropPreambleDetectFailure,3373570
dropReceptionAbortedByTx,41
dropLSigFailure,1045
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,67211
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,638
