Metric,Value
macTxDrop,0
macRxDrop,11298919
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1918392
dropTxing,197422
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,211789
dropPreambleDetectFailure,8930444
dropReceptionAbortedByTx,12
dropLSigFailure,1842
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,38709
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,309
