Metric,Value
macTxDrop,0
macRxDrop,18868730
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3354163
dropTxing,174915
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,522528
dropPreambleDetectFailure,14647606
dropReceptionAbortedByTx,10
dropLSigFailure,831
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,168181
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,496
