Metric,Value
macTxDrop,0
macRxDrop,21085159
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,6281192
dropTxing,320334
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,534857
dropPreambleDetectFailure,13921476
dropReceptionAbortedByTx,8
dropLSigFailure,4461
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,22180
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,651
