Metric,Value
macTxDrop,0
macRxDrop,9174292
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,1246773
dropTxing,143147
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,197273
dropPreambleDetectFailure,7500511
dropReceptionAbortedByTx,10
dropLSigFailure,639
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,85553
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,386
