Metric,Value
macTxDrop,0
macRxDrop,10302495
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,3525541
dropTxing,338856
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,1061733
dropPreambleDetectFailure,5347699
dropReceptionAbortedByTx,6
dropLSigFailure,3359
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,23564
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,1737
