Metric,Value
macTxDrop,0
macRxDrop,18215929
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,2478902
dropTxing,145750
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,274892
dropPreambleDetectFailure,15259697
dropReceptionAbortedByTx,8
dropLSigFailure,861
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,55403
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,416
