Metric,Value
macTxDrop,0
macRxDrop,45310708
dropUnsupportedSettings,0
dropChannelSwitching,0
dropRxing,7537410
dropTxing,452313
dropSleeping,0
dropPoweredOff,0
dropTruncatedTx,0
dropBusyDecodingPreamble,863818
dropPreambleDetectFailure,36392181
dropReceptionAbortedByTx,6
dropLSigFailure,329
dropHtSigFailure,0
dropSigAFailure,0
dropSigBFailure,0
dropUSigFailure,0
dropEhtSigFailure,0
dropPreambleDetectionPacketSwitch,63849
dropFrameCapturePacketSwitch,0
dropObssPdCcaReset,0
dropPpduTooLate,0
dropFiltered,0
dropDmgHeaderFailure,0
dropDmgAllocationEnded,0
dropUnknown,802
